name	bodyOfWater	ors_id	status
Unspecified	Hudson River	57f7b6e87a699f1e0a48ae7b	Inactive
Unspecified	New York Harbor	576adcbde7ff550537f2d708	Inactive
Unspecified	New York Harbor	576ab534e7ff550537f2d705	Inactive
Unspecified	Hudson	57d55d42617bf9c536f37d68	Inactive
Unspecified	Harlem River	590254beb1542b585aa6bf9f	Inactive
Unspecified	Harlem River	57f7c1a58fc301470d444044	Inactive
Unspecified	Northport Harbor	57f7c1c88fc301470d444046	Inactive
Unspecified	East River	57fe86f1c69cc4820e2bede6	Inactive
Unspecified	Flushing Bay	5869b20d195c49c15ebeec8f	Lost
Unspecified	Flushing Bay	5869b2e5195c49c15ebeec90	Active
Unspecified	Hudson River	59380d8b1634fb0fefc2a42d	Inactive
Unspecified	East River	57d4252e617bf9c536f37ca4	does_not_exist
Unspecified	NY Harbor	57f7b7527a699f1e0a48ae7f	Inactive
Unspecified	Jamaica Bay	576586efe7ff550537f2d6e4	Inactive
Unspecified	Jamaica Bay	590255d3b1542b585aa6bfc5	Inactive
Unspecified	Hudson River	5a514e3d2d30ce1fe0a79055	Inactive
Valentino Pier, Red Hook	Upper Harbor	57f7cddb8fc301470d4440ae	Inactive
Vernon Boulevard, Long Island City	Newtown Creek	57f7c5ff8fc301470d444088	Inactive
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	595048d24b16da37d15a041f	Active
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	57f7bfc18fc301470d44403d	Active
Brooklyn Navy Yard, Harbor School Base	Wallabout Bay	57f7c6398fc301470d44408a	Inactive
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	57f7c5bf8fc301470d444085	Inactive
West 22nd Street, Coney Island	Coney Island Creek	57ffc301c69cc4820e2bef16	Destroyed
West 88th Street, Riverside Park	Hudson River	57f7c5f48fc301470d444087	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	5819f31826915e7a0e4c1779	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	57a9140b2f6a7ae00db372ee	Active
Whole Foods Esplanade, Gowanus	Gowanus Canal	57f7b7317a699f1e0a48ae7d	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	57f52d1119cc1edc3249ef9a	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	5806253c4885e2a854c8dd3f	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	57f7b91d7a699f1e0a48aea9	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	594a6bc30824aa41c675e667	Inactive
		5a986d5bcf3e6d22381d1fb2	Active
		5a8ef0f2d691101a5d069920	Active
