Official DOE Name	Organization	Type of School	Street	City	State	Teams	Total team leads	Total team members	Expeditions created	Expeditions published	Lessons viewed	Lessons logged	Lessons reviewed	Lessons created (forked or new)	Total research posters published by all team members	Total research posters published by all team leads	Events registered	Events attended
	The Chapin School		100 East End Avenue	New York	New York	2	2	2	0	0	6	0	0	0	0	0	0	0
	Washington Heights Expeditionary Learning School (WHEELS)		511 W 182nd St	New York	New York	2	5	4	0	0	6	0	0	0	0	0	1	0
	Apex for Youth, Inc.		@ PS/MS 184 Shuang Wen School 327 Cherry Street	New York	NY	1	2	0	0	0	42	0	0	0	0	0	8	2
	Renaissance Charter High School for Innovation		410 E. 100th St.	New York	New York	1	2	0	0	0	2	0	0	0	0	0	1	1
	PS208/ALLMSES		21 W 111th St.	New York	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	Youth Arts New York		P.O. Box 363, Old Chelsea Station	New York	NY	1	3	5	3	0	0	0	0	0	0	0	0	0
	Ps108		1615 madison ave	New york	Ny	1	2	0	0	0	0	0	0	0	0	0	0	0
	Hamilton Grange Middle School		515 W 138th St.	New York	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	The Center School MS 243		100 W. 84th St	New York	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	School of the Blessed Sacrament		147 West 70th Street	New York	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	New York State Parks, Recreation & Historic Preservation		163 W 125th St, 17th Floor	New York	NY	1	2	0	1	1	0	0	0	0	0	0	2	0
	Inwood Academy for Leadership Charter School		108 Cooper Street	New York	NY	1	2	0	0	0	0	0	0	0	0	0	1	1
	PS/IS 76		220 W 121st Street	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	MS 104 Simon Baruch		330 E 21st St	New York	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	School of the Future (M413)		127 E. 22nd St.	New York	New York	2	3	7	2	1	105	0	0	1	0	0	13	11
	Winston PReparatory School NY		126 w 17 st.	New York	NY	1	2	1	0	0	1	0	0	0	0	0	0	0
	PS/IS 76		220 W 121st Street	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Bronx Collaborative High School		100 West Mosholu Parkway South	New York	New York	2	4	1	0	0	0	0	0	0	0	0	0	0
	Institute for Collaborative Education		345 E 15th Street	New York	NY	2	4	12	1	0	14	0	0	0	0	0	15	12
	Manhattan Center for Science and Mathematics		280 Pleasant Ave	New York	NY	1	2	0	0	0	0	0	0	0	0	0	1	1
	Grace Church School		46 Cooper SQ	New York	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	Avenues The World School		259 10th Avenue	New York	NY	2	4	0	0	0	0	0	0	0	0	0	1	0
	City-As-School		16 Clarkson Street	New York	New York	1	1	0	0	0	7	0	0	0	0	0	2	0
	Halawai		1155 Ave of Americas	New York	NY	1	2	2	3	0	0	0	0	0	0	0	0	0
	P.S./M.S. 140 NATHAN STRAUS		123 RIDGE STREET	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Bard High School Early College		525 East Houston St	New York	NY	1	2	3	5	0	0	0	0	0	0	0	6	1
	BioBus		402 East 8th street	New York	NY	1	2	0	0	0	9	0	0	0	0	0	0	0
	The East Harlem School		309 E 103rd St	New York	NY	2	4	0	0	0	45	0	0	0	0	0	3	1
	M.S. 131		100 HESTER STREET	New York	New York	0	0	0	0	0	0	0	0	0	0	0	0	0
	PS 33, Chelsea Prep		281 9th Avenue	New York	NY	1	2	1	0	0	0	0	0	0	0	0	0	0
	Billion Oyster Project		10 South St., Slip 7	New York	NY	52	66	136	35	14	945	8	10	8	21	3	34	20
	Quest to Learn		351 W 18th St	New York	New York	1	1	0	0	0	0	0	0	0	0	0	1	0
	NY Sun Works		157 Columbus Avenue Suite 432,	New York	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Ethical Culture Fieldston School		33 CENTRAL PARK WEST	NEW YORK	NEW YORK	0	0	0	0	0	0	0	0	0	0	0	0	0
	MS 245 The Computer School		100 W 77th Street room 336	New York	New York	1	1	0	0	0	0	0	0	0	0	0	1	0
	The New School		6 each 16street	new york	new york	1	2	0	0	0	0	0	0	0	0	0	7	1
	Inwood Academy for Leadership Charter School High School		108 Cooper Street	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	1
	DNA Learning Center		2351 1st Avenue	New York	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	Hudson River Community Sailing		West 26th Street & 12th Avenue, Pier 66	New York	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	Cooke Center Academy		60 MacDougal St	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	PS72 Lexington Academy		131 E. 104th Street	New York	NY	1	2	17	0	0	9	0	0	0	0	0	18	11
	Barnard College		3009 Broadway	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Trevor Day School		312 E 95th Street	New York	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	The Earth School		600 East 6th Street	New York	New York	1	2	0	0	0	1	0	0	0	0	0	1	1
	P. S. 15 M		333 East 4th street	New York	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Gaylen Moore Program Evaluation Services		304 W. 89th St Apt. 9B	New York	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	Convent of the Sacred Heart		1 E 91st Street	New York	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	The Brotherhood/Sister Sol		512 W 143rd Street	New york	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Convent of the Sacred Heart		1 E 91st Street	New York	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	Ethical Culture Fieldston School		33 Central Park West	New York	NY	10	17	5	0	0	9	0	0	0	0	0	3	2
	Central Park East 2		1615 Madison Avenue	New York	NY	3	5	82	11	7	51	2	2	1	2	0	13	7
	New York State Parks		163 W 125th St, 17th Floor`	New York	NY	1	2	3	0	0	1	0	0	0	0	0	2	1
	M.S. 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY		401 WEST 164 STREET	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	KAPPA III (12x316)		2055 Mapes Ave	New York	NY	1	2	23	1	0	27	0	0	0	0	0	4	2
	District 75 STEM Department		400 1st ave	New York	New York	2	3	0	0	0	20	0	0	0	0	0	13	8
	Trinity School		101 West 91st Street	New York	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Northport High School		154 Laurel Hill Road	Northport	NY	1	3	1	0	0	0	0	0	0	0	0	2	0
	The Hewitt School		45 East 75th Street	NY	NY	1	2	5	3	2	6	0	0	0	0	0	1	1
	IS 126Q		3151 21 street	NY	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	MS 188 The Island School		442 E Houston St	NY	NY	1	2	1	1	1	0	0	0	0	0	0	0	0
	MS 324 Patria Mirabal		21 Jumel Places	NY	NY	4	6	0	2	0	0	0	0	0	0	0	11	5
	IS 126Q		3151 21 street	NY	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	PS 166		132 west 89th	ny	ny	1	1	0	0	0	0	0	0	0	0	0	0	0
	The WaterFront Center		1 West End Avenue	Oyster Bay	New York	1	2	7	7	1	1	0	0	0	0	0	0	0
	Columbia University, Lamont Doherty Earth Observatory		61 Route 9w	Palisades	NY	3	7	3	0	0	10	0	0	0	0	0	0	0
	Emerald Coastkeeper		4606 Baybrook Dr	Pensacola	Florida	1	2	0	0	0	0	0	0	0	0	0	0	0
	Clarkson University		8 Clarkson Ave	Potsdam	New York	3	6	7	0	0	1	0	0	0	0	0	0	0
